title,url,source,category,asking_price,monthly_revenue,monthly_profit,traffic_estimate,description,seller_notes,tech_stack
AI Prompt Library for Realtors,https://example.com/realtor-prompts,Acquire,SaaS,28000,2100,1600,5200,Niche AI prompt SaaS for real estate teams with simple subscription revenue.,Founder stopped improving onboarding and templates.,Next.js Stripe Supabase
Outdoor Gear Review Blog,https://example.com/outdoor-gear-review,Flippa,Content Site,18500,720,610,42000,SEO content site ranking for buyer-intent outdoor gear comparisons.,Mostly Amazon links and no email capture.,WordPress
Remote CFO Newsletter,https://example.com/remote-cfo-newsletter,Microns,Newsletter,9000,350,300,8200,Newsletter for fractional CFOs with sponsors sold inconsistently.,No automated sponsor pipeline or affiliate offers.,Beehiiv
Chrome Tab Cleanup Extension,https://example.com/tab-cleanup,Motion Invest,Chrome Extension,12500,640,590,11800,Chrome extension with active users and lightweight paid tier.,Landing page is plain and onboarding is minimal.,JavaScript Chrome APIs
NicheForms.io,https://example.com/nicheforms,Other,Domain,3200,0,0,250,Brandable domain for form templates and no-code lead capture.,Domain is undeveloped but has clear SaaS angle.,Domain only
Shopify Upsell Micro App,https://example.com/shopify-upsell-app,Acquire, SaaS,42000,3200,2200,6100,Micro SaaS for Shopify upsell widgets with steady merchant base.,UI is dated and docs are thin.,Laravel MySQL Stripe
RV Park Directory,https://example.com/rv-park-directory,Empire Flippers,Affiliate Site,36000,1800,1450,68000,Directory and affiliate site for RV parks and camping gear.,Strong traffic but monetization relies on ads only.,WordPress custom post types
Invoice Generator WordPress Plugin,https://example.com/invoice-plugin,FE International,WordPress Plugin,24000,1550,1250,7300,Paid WordPress plugin for freelancers and agencies.,Support volume is low but settings UX is outdated.,PHP WordPress Freemius
Meal Plan Mobile App,https://example.com/meal-plan-app,Flippa,Mobile App,16500,740,420,21000,Mobile meal planning app with free users and weak subscription conversion.,Paywall and lifecycle emails have not been tested.,Swift Firebase
Local Solar Leads Site,https://example.com/local-solar-leads,Manual,Content Site,11200,260,220,17500,Local SEO site collecting solar quote intent in several cities.,Traffic exists but lead-gen follow-up is manual.,Webflow Airtable
